forecast_date,target,date_time,q0.025,q0.25,q0.5,q0.75,q0.975
20240124,energy,2024-01-25 00:00:00,49.543568,52.86625,53.891697,54.85364,57.038433
20240124,energy,2024-01-25 01:00:00,47.373505,51.270866,52.872845,53.167484,55.078865
20240124,energy,2024-01-25 02:00:00,47.320812,50.15596,51.665325,51.55563,54.61455
20240124,energy,2024-01-25 03:00:00,47.373505,50.490997,51.665325,52.08768,54.559647
20240124,energy,2024-01-25 04:00:00,47.835117,51.3694,52.540997,53.879307,55.47243
20240124,energy,2024-01-25 05:00:00,51.039066,53.85961,54.74084,55.752895,57.22577
20240124,energy,2024-01-25 06:00:00,57.411,61.038765,62.544342,63.090496,65.10361
20240124,energy,2024-01-25 07:00:00,63.081905,67.1715,68.38283,68.83768,71.01679
20240124,energy,2024-01-25 08:00:00,66.36349,70.33172,71.24221,71.84241,73.3709
20240124,energy,2024-01-25 09:00:00,66.87363,70.93979,71.76034,72.3236,73.97073
20240124,energy,2024-01-25 10:00:00,67.532326,71.62735,71.97889,72.67578,74.51035
20240124,energy,2024-01-25 11:00:00,67.732864,71.62735,72.201546,72.939804,74.65196
20240124,energy,2024-01-25 12:00:00,67.64754,71.57774,72.65418,72.89032,74.86967
20240124,energy,2024-01-25 13:00:00,67.17356,70.32127,71.633156,72.128365,74.26541
20240124,energy,2024-01-25 14:00:00,65.72511,68.873764,69.973404,70.472115,72.98272
20240124,energy,2024-01-25 15:00:00,64.93575,68.86981,69.512405,70.35693,72.31478
20240124,energy,2024-01-25 16:00:00,64.84042,68.86981,69.59444,70.39544,72.576485
20240124,energy,2024-01-25 17:00:00,66.7654,70.21483,71.29653,71.96206,74.122154
20240124,energy,2024-01-25 18:00:00,66.99126,70.674835,71.47183,72.31144,74.51681
20240124,energy,2024-01-25 19:00:00,65.91022,69.368546,70.316025,71.05117,73.290985
20240124,energy,2024-01-25 20:00:00,63.864265,66.736465,67.566986,67.60133,69.62373
20240124,energy,2024-01-25 21:00:00,60.4653,62.773544,63.901863,64.08484,65.89152
20240124,energy,2024-01-25 22:00:00,58.392803,60.365982,61.60071,61.97433,64.39826
20240124,energy,2024-01-25 23:00:00,55.2773,57.346516,58.845436,58.982815,61.051357
20240124,energy,2024-01-26 00:00:00,52.413628,55.319572,56.22492,57.084164,59.274834
20240124,energy,2024-01-26 01:00:00,49.364212,52.48152,53.57757,54.4856,57.067142
20240124,energy,2024-01-26 02:00:00,48.640266,51.73842,52.460667,53.576138,56.82919
20240124,energy,2024-01-26 03:00:00,48.9647,51.898758,52.754917,53.576138,56.774284
20240124,energy,2024-01-26 04:00:00,49.777176,52.516357,53.75684,54.985424,56.936848
20240124,energy,2024-01-26 05:00:00,53.46273,56.48169,58.115734,58.501606,60.359245
20240124,energy,2024-01-26 06:00:00,58.739685,63.2386,64.79129,65.127335,67.3157
20240124,energy,2024-01-26 07:00:00,63.601646,69.2143,70.32421,70.91556,73.05946
20240124,energy,2024-01-26 08:00:00,66.56722,71.29807,72.379,72.86282,74.92667
20240124,energy,2024-01-26 09:00:00,66.975784,71.98563,72.951324,73.51634,75.434204
20240124,energy,2024-01-26 10:00:00,67.39045,72.61594,73.597336,73.72534,75.68833
20240124,energy,2024-01-26 11:00:00,67.41651,72.42786,73.39255,73.5917,75.75192
20240124,energy,2024-01-26 12:00:00,67.39163,71.84233,72.95566,73.496864,75.72309
20240124,energy,2024-01-26 13:00:00,65.8828,70.59798,71.945404,72.59862,74.96512
20240124,energy,2024-01-26 14:00:00,63.917324,69.13544,70.33877,71.181076,73.84872
20240124,energy,2024-01-26 15:00:00,63.917324,68.93916,70.25457,71.16226,73.633125
20240124,energy,2024-01-26 16:00:00,63.917324,68.93916,70.25457,70.73245,73.51971
20240124,energy,2024-01-26 17:00:00,64.555275,70.182526,71.68699,72.26982,75.01327
20240124,energy,2024-01-26 18:00:00,64.555275,70.028946,71.62322,72.1676,74.67121
20240124,energy,2024-01-26 19:00:00,64.00565,68.86447,70.215065,70.95583,73.01396
20240124,energy,2024-01-26 20:00:00,61.35352,65.12865,66.32655,66.44473,68.58596
20240124,energy,2024-01-26 21:00:00,57.91694,61.326447,62.381546,63.159733,65.60555
20240124,energy,2024-01-26 22:00:00,55.750256,59.47452,60.86491,60.971203,63.05012
20240124,energy,2024-01-26 23:00:00,53.290585,56.394554,58.086555,58.698742,60.656246
20240124,energy,2024-01-27 00:00:00,49.603813,52.002785,52.956837,54.903767,56.906708
20240124,energy,2024-01-27 01:00:00,47.74463,50.43467,51.153587,52.900875,55.682972
20240124,energy,2024-01-27 02:00:00,46.358498,48.439453,49.885498,51.408413,53.40791
20240124,energy,2024-01-27 03:00:00,46.358498,48.266975,49.327843,50.67635,53.09729
20240124,energy,2024-01-27 04:00:00,45.514755,48.13423,49.32447,50.601566,53.295574
20240124,energy,2024-01-27 05:00:00,46.48757,48.273582,49.42598,50.136097,53.08776
20240124,energy,2024-01-27 06:00:00,47.407936,49.588707,50.787983,51.91788,54.022045
20240124,energy,2024-01-27 07:00:00,49.57518,52.36119,53.469887,54.476902,56.734226
20240124,energy,2024-01-27 08:00:00,53.860092,56.512444,58.413612,59.16923,60.282127
20240124,energy,2024-01-27 09:00:00,57.438595,60.161636,61.452324,62.594013,64.10767
20240124,energy,2024-01-27 10:00:00,58.86178,61.774025,63.118454,64.08632,66.10236
20240124,energy,2024-01-27 11:00:00,59.35807,62.11763,63.382042,64.3112,66.8307
20240124,energy,2024-01-27 12:00:00,58.8034,61.74848,63.0282,64.3112,66.15937
20240124,energy,2024-01-27 13:00:00,56.65317,60.041718,60.95031,62.29346,64.78578
20240124,energy,2024-01-27 14:00:00,54.78322,58.74099,59.95841,60.113697,63.67284
20240124,energy,2024-01-27 15:00:00,54.794388,58.000694,59.77714,59.68616,64.27899
20240124,energy,2024-01-27 16:00:00,54.794388,58.000694,59.955845,59.68616,64.27899
20240124,energy,2024-01-27 17:00:00,57.54282,60.805504,61.95401,62.720974,66.30388
20240124,energy,2024-01-27 18:00:00,58.163746,61.160583,62.5895,63.54752,67.053345
20240124,energy,2024-01-27 19:00:00,55.970276,59.242058,60.81604,61.855198,63.59533
20240124,energy,2024-01-27 20:00:00,53.76061,56.365997,57.95254,58.26135,61.360813
20240124,energy,2024-01-27 21:00:00,52.46962,54.82389,55.696815,56.45241,59.035297
20240124,energy,2024-01-27 22:00:00,50.201054,53.370026,54.440605,55.270046,57.90222
20240124,energy,2024-01-27 23:00:00,48.166935,51.162018,51.889984,53.619083,55.960888
