forecast_date,target,date_time,q0.025,q0.25,q0.5,q0.75,q0.975
20240207,energy,2024-02-08 00:00:00,47.56555,50.231663,52.259754,54.47297,55.154644
20240207,energy,2024-02-08 01:00:00,45.253315,47.61811,49.521793,51.258495,52.88749
20240207,energy,2024-02-08 02:00:00,43.82426,46.986626,48.587337,49.966366,51.358562
20240207,energy,2024-02-08 03:00:00,43.80753,46.986626,48.99428,50.347164,51.59363
20240207,energy,2024-02-08 04:00:00,45.97631,48.25156,50.085278,51.601658,53.477478
20240207,energy,2024-02-08 05:00:00,48.715836,52.006283,53.60332,55.277954,56.682133
20240207,energy,2024-02-08 06:00:00,55.226173,58.43332,60.3608,61.925674,63.343285
20240207,energy,2024-02-08 07:00:00,62.130157,64.47006,66.20801,67.68988,69.40366
20240207,energy,2024-02-08 08:00:00,64.72993,67.629486,69.46971,71.12825,72.63159
20240207,energy,2024-02-08 09:00:00,64.41158,67.691574,69.80403,71.360374,72.86639
20240207,energy,2024-02-08 10:00:00,64.41158,68.13663,70.244156,71.87831,73.207886
20240207,energy,2024-02-08 11:00:00,64.41158,67.92131,70.188736,71.91461,73.56416
20240207,energy,2024-02-08 12:00:00,64.25007,67.728455,69.58542,71.41587,73.09166
20240207,energy,2024-02-08 13:00:00,64.47819,66.82823,68.51114,70.65559,72.1172
20240207,energy,2024-02-08 14:00:00,62.18707,64.75397,66.46411,68.57363,69.95498
20240207,energy,2024-02-08 15:00:00,62.133453,64.34822,66.01854,68.19358,69.20615
20240207,energy,2024-02-08 16:00:00,62.133453,64.00691,65.60867,67.71837,68.70909
20240207,energy,2024-02-08 17:00:00,63.404713,66.27751,68.148254,70.29225,71.83244
20240207,energy,2024-02-08 18:00:00,63.739456,67.42517,69.27585,71.220085,72.918976
20240207,energy,2024-02-08 19:00:00,64.188446,66.29222,68.05,69.5131,70.53711
20240207,energy,2024-02-08 20:00:00,60.567135,62.179848,63.86811,65.46052,66.73934
20240207,energy,2024-02-08 21:00:00,55.849895,58.491154,60.237793,61.63962,62.441265
20240207,energy,2024-02-08 22:00:00,52.66921,55.304146,57.25592,59.14471,60.760105
20240207,energy,2024-02-08 23:00:00,49.022343,51.273952,53.014305,54.921757,56.21708
20240207,energy,2024-02-09 00:00:00,45.028088,48.421955,50.141933,51.980366,53.391346
20240207,energy,2024-02-09 01:00:00,43.599033,46.86705,47.982143,49.850765,51.455235
20240207,energy,2024-02-09 02:00:00,42.573994,45.63118,47.13165,48.893665,50.585346
20240207,energy,2024-02-09 03:00:00,42.573994,45.63118,47.437542,48.664883,50.728306
20240207,energy,2024-02-09 04:00:00,43.78298,47.100018,48.0162,49.850765,51.382446
20240207,energy,2024-02-09 05:00:00,46.951946,49.534946,51.294567,53.584686,54.92229
20240207,energy,2024-02-09 06:00:00,53.483456,57.042587,59.02165,60.348152,60.66866
20240207,energy,2024-02-09 07:00:00,59.472992,63.859116,64.88637,66.61826,67.04797
20240207,energy,2024-02-09 08:00:00,64.205795,66.83612,68.63034,69.97256,71.91223
20240207,energy,2024-02-09 09:00:00,64.32373,67.121475,68.73357,70.53832,71.954384
20240207,energy,2024-02-09 10:00:00,64.32951,67.75009,69.37297,71.40185,72.41219
20240207,energy,2024-02-09 11:00:00,63.73427,67.82086,69.47061,71.315994,73.161804
20240207,energy,2024-02-09 12:00:00,64.13762,67.03403,68.46269,70.57773,72.213974
20240207,energy,2024-02-09 13:00:00,62.692677,66.19887,67.55342,69.269875,71.42959
20240207,energy,2024-02-09 14:00:00,61.15723,64.34465,66.03337,68.03743,69.63767
20240207,energy,2024-02-09 15:00:00,60.711266,63.743633,65.1763,67.255745,68.897354
20240207,energy,2024-02-09 16:00:00,60.5102,63.596886,65.1763,67.39871,68.9372
20240207,energy,2024-02-09 17:00:00,62.54771,65.97978,67.42195,69.09608,71.332436
20240207,energy,2024-02-09 18:00:00,63.271423,66.59912,67.95955,69.49264,71.45117
20240207,energy,2024-02-09 19:00:00,61.986496,64.78383,66.332184,68.41806,70.32117
20240207,energy,2024-02-09 20:00:00,57.64939,60.321346,61.599113,63.110073,64.81379
20240207,energy,2024-02-09 21:00:00,53.50512,57.09511,58.953667,60.492855,61.74223
20240207,energy,2024-02-09 22:00:00,52.02167,54.260014,56.08529,57.66195,58.998535
20240207,energy,2024-02-09 23:00:00,49.07848,51.085995,53.33706,54.62557,56.773804
