,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
4,2.9852055501937866,0.2273830392031211,0.006744732856750488,0.0031096070208958557,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-0.1463916409083775,-0.1643245265869868,-0.5731923238300142,-0.6326392291931879,-0.5032486170814148,-0.37244955268133256,-0.22773415146782305,-0.5146377567109608,-0.159674095026652,-0.3968711313247683,-0.20654902026766825,-0.14277982820783344,-0.16140834677559993,-0.15860562734149752,-0.14192895714896073,-0.9446189471017747,-0.45320919220334005,-0.2470072749274118,-1.3706643066224597,-0.508211177412669,-0.2935960018339611,-0.38528451406388037,-0.31468736533210395,-0.18058013707115522,-0.9921203599997929,-0.5088113178253173,-0.34493455129350936,-0.3129235088530041,-0.24008119263421926,-0.2181264708382743,-0.13330250115167525,-0.12015350035712842,-0.15704400535311022,-0.15922147953396756,-0.14011358129410517,-0.12749113278161905,-0.11047186698459441,-0.17149273282459804,-0.14521603804088773,-0.09797079653966993,-0.1900057369141352,-0.10706052236102881,-0.20089533650988628,-0.5554336832500637,-0.29852342309951785,-0.27244691195715043,-0.22903614600953606,-0.2842692377907889,-0.25821302627381837,-0.20103754923684256,-0.31553380661660146,0.2467012038275191,1
3,7.460221018791199,1.6774875731411487,0.008038883209228515,0.0030377068721056345,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-0.2588489208403088,-0.2652919942583357,-0.3724551223209926,-0.999722501536778,-0.8102958151045297,-0.32942605378287176,-0.3266724113646008,-0.28274193554832816,-0.22159222472054624,-0.2796762609209334,-0.17080417156219482,-0.13048186547415594,-0.19784054007757282,-0.20221534752618697,-0.17403747334253222,-0.588193000184922,-0.6012461512611026,-0.21400686748141337,-1.4861930646714712,-0.4477993233953204,-0.29916822045644126,-0.3196681484040758,-0.2943616524469285,-0.19355526692526687,-0.9517113632474627,-0.8690648332959128,-0.2816252150172279,-0.29399129057384676,-0.26606081029801143,-0.16153789438520158,-0.16339149917420887,-0.13162352464766733,-0.15269498339607598,-0.2081311753409249,-0.1384266250247047,-0.16596381641569594,-0.12602527190617152,-0.17156218131837392,-0.1953640353066581,-0.11958333782922653,-0.18638921317145937,-0.1496541766302927,-0.18594175826481416,-0.6763376902080717,-0.2704354012534732,-0.2674330089750744,-0.23189663762592133,-0.2984283461343674,-0.289073478380839,-0.25141655076344815,-0.3334011690438588,0.2681009683367749,2
5,7.2658464097976685,0.47962814381078744,0.007811803817749024,0.003396128971398341,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-0.13125697074163536,-0.16122184156690345,-0.6037569344929286,-0.7194466828936624,-1.079490405446007,-0.7762666373570759,-0.2386807066962835,-0.5741830081485567,-0.1514511086236863,-0.4359112057186311,-0.174802509035383,-0.14846614365350636,-0.15798900191897444,-0.12672323028019492,-0.1615917053949266,-1.3218291667574928,-0.33383734006654653,-0.27790403804779057,-1.2468583620434714,-0.5040359129179092,-0.2689874022620065,-0.5192990883418489,-0.31193383510226297,-0.18525430057162315,-1.242494600659325,-0.4349504214423042,-0.33192065139952165,-0.3016034162884666,-0.22758140948159358,-0.241693535396031,-0.12011916166941321,-0.17659518671489907,-0.15514360600880214,-0.1379618016470047,-0.14487119792756578,-0.12520532971336726,-0.11580903109141766,-0.16065079042343863,-0.13130681110109596,-0.11632855220068074,-0.17387628989106135,-0.09971505093347466,-0.23084722075689412,-0.6822072742916285,-0.28832272279376076,-0.26524819107055664,-0.20304953870773318,-0.2736595349538894,-0.2637567761284965,-0.19205324349176317,-0.3489629776852699,0.3071387377291298,3
1,6.72197455406189,0.5794619681644975,0.008079347610473632,0.003011644528677293,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.3233476303373064,-0.3371088859739758,-0.4451311097008841,-0.9074825312841506,-0.7128917167300267,-0.4116071878705706,-0.4125367384320213,-0.2781885574885777,-0.31007009352729437,-0.26054693073999313,-0.2301881317865281,-0.19824250670841753,-0.2534941453570412,-0.24823147070748466,-0.22472479550497873,-0.544023162959871,-0.610102307019915,-0.2060287609372821,-1.7532368740172615,-0.42363152117502123,-0.2561889442080543,-0.34790631044478626,-0.3147434073221116,-0.1971094542457944,-1.038856527828035,-0.7567404904774256,-0.29343722357977003,-0.32871419321241835,-0.2834237534477597,-0.182645311446417,-0.18874267384665352,-0.1517447856993903,-0.17111375293731687,-0.19568639826093415,-0.17213523696717759,-0.1501836014248076,-0.1385905794325329,-0.20398585581098286,-0.1815371271496727,-0.1348849226633708,-0.2171279040926979,-0.14971817671457932,-0.17489524107433502,-0.4411280268169584,-0.2782789206459409,-0.28123497877575104,-0.2586800835291545,-0.32520000053587417,-0.34223932011922203,-0.3026026269731068,-0.3510058177588327,0.2759992854917664,4
6,3.04159960269928,0.27674903582823185,0.0055364036560058595,0.004377521166887009,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-0.15357475559597925,-0.1457828660964966,-0.4185647960935319,-1.8787797830309185,-1.1447914490018571,-0.402581982122149,-0.2397703770592104,-0.7497632545743668,-0.14377405067625498,-1.1117325887407576,-0.135407205627078,-0.15349765278044214,-0.1765252035322644,-0.12251711346762521,-0.15119856737227672,-0.9417710764567059,-0.4504378770828247,-0.23730520137605218,-1.3555854397092546,-0.46985994247709006,-0.26069103089287166,-0.6068848338808331,-0.2886874389466786,-0.1677761276790074,-1.0723273011843364,-0.8080424085980367,-0.26378070187341596,-0.27156607119696485,-0.24878054589771095,-0.3017132802236648,-0.13433732066381546,-0.20032865917569143,-0.15285191195805858,-0.15052429944447104,-0.1300600987843105,-0.18116014121827623,-0.11444597329639264,-0.15071346998668853,-0.15233575046176004,-0.14526829133714955,-0.16868709688640776,-0.16740678715478813,-0.21753482257298062,-0.6193985465730939,-0.25833108015968687,-0.258491317712693,-0.1942106575103033,-0.24801979546319872,-0.23315172708602186,-0.18857969823564805,-0.3787861673785619,0.3723243405842891,5
2,3.4269206428527834,0.3345337765616345,0.007448410987854004,0.0030906877354504292,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-0.555274132837568,-0.5857633991059802,-0.5549618000847952,-0.8769217052096413,-0.9177857108343213,-0.5351327789942424,-0.6270583429245722,-0.5186226486478533,-0.5595275992983864,-0.4933836712337677,-0.47209103093828475,-0.40681789416358577,-0.4456017910276141,-0.44369743734087264,-0.4176288773037139,-0.5318070772080193,-0.8025480120704289,-0.36765767468043736,-1.1736520196188063,-0.4833864990824745,-0.40533414952414376,-0.40755527110326845,-0.38719149510519846,-0.2997849168777466,-0.6582208303269887,-0.9770190957114806,-0.3560821901139758,-0.3460234077816918,-0.36002105924515504,-0.2647697392872401,-0.27488953828357515,-0.24324132822127573,-0.256511844208127,-0.22871672160738998,-0.25533006872449604,-0.2760008260636103,-0.224365555027553,-0.27473879553476965,-0.31590004250662673,-0.24499269744328092,-0.3043832082930066,-0.2858221342995054,-0.2829399250302996,-0.5476364333652315,-0.38939522731417703,-0.41351394795009067,-0.41538657790592737,-0.45005533154805494,-0.4902215592066448,-0.4900556216376169,-0.4579083928370703,0.20197946683335827,6
7,7.392401790618896,0.33520610302939713,0.00797623634338379,0.0032662752395176487,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-0.13522050205412364,-0.14068982971736363,-0.4904867156437464,-2.3044927487237112,-1.7577158867063976,-2.002979818988982,-0.3185005647931784,-0.830634983971005,-0.13455116522652757,-1.362650131834121,-0.12359224632808138,-0.1885649045308432,-0.16924470411936446,-0.11455906342097694,-0.15097138670966748,-1.068943358039856,-0.4132929249218532,-0.28401317571912504,-1.5114297423408143,-0.46606889803750173,-0.2703452440261841,-0.6590128052121115,-0.26003743101755783,-0.21144784069061262,-1.179327161936533,-1.010262024012066,-0.25551318927946537,-0.2502577643894014,-0.25305911743527365,-0.37243680213746577,-0.11522431754611787,-0.2570728804088776,-0.16152836457207084,-0.1417648981003534,-0.12436686236517772,-0.22780402542295908,-0.14299206800914963,-0.14153896298181443,-0.1529260319936843,-0.1769669020062403,-0.15402090337844124,-0.1862862246013824,-0.23794525311787917,-0.7351711022422427,-0.24533185492924284,-0.2523350638979957,-0.17503083990187873,-0.2027191956383842,-0.25633008752550407,-0.17373818028767904,-0.4590279230178197,0.5182641205843393,7
0,3.828289256095886,0.5026586454367814,0.007276620864868164,0.0027918988864826964,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-0.6529531018575033,-0.6868228245508103,-0.6625545916875204,-0.8886338123684839,-0.7557660718645366,-0.6062340471267701,-0.7064554581778391,-0.6364441865285239,-0.668567467925662,-0.5995961566380091,-0.5700439417702812,-0.506211356163025,-0.5492476459321523,-0.5450873904091972,-0.5185004379908245,-0.674540616562253,-0.8962193782170613,-0.44413007402874183,-1.4949447603952317,-0.47568373350415916,-0.3886348581132435,-0.5181078820909772,-0.4244588372639248,-0.3392882866632372,-0.5920846420015609,-1.0067126149858743,-0.36383936337970546,-0.39740431502205986,-0.39623844449179524,-0.32620509088607064,-0.32924435921623596,-0.3027180330458142,-0.31113992062523255,-0.28694078575315934,-0.299329279717945,-0.28139264892396476,-0.2582256187166486,-0.31506153527214414,-0.3179786467960903,-0.29249167991819836,-0.3695215403420585,-0.3335817336672829,-0.33303278888520743,-0.45111948548271535,-0.4505330175399781,-0.49935537320999873,-0.5161187590916951,-0.5261043539955503,-0.585759948957534,-0.5908578502019247,-0.5188423749591283,0.2220216757387912,8
