,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
4,2.646721320152283,0.1552062045994185,0.006273975372314453,0.00048668509223747286,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-0.9493259030296687,-1.8661422167278472,-2.1051768874213805,-3.2616298315865655,-1.9369398827325732,-2.8901506872631257,-1.6140450681958878,-1.0407837267376128,-1.3068259949457077,-1.3940586156390962,-1.3324866016024635,-0.7488611177716935,-1.7759691284724648,-0.9889762484232586,-1.037479419072469,-1.6384864912487214,-1.4490420682089669,-1.2188403364817302,-2.6034650542849587,-1.069520725704375,-1.0477069568634034,-1.372930142538888,-1.3703321754818871,-1.0536513048807779,-1.6780332380930585,-1.6600204372406007,-0.7521642946515764,-1.5882145538330077,-0.8906522082374212,-0.9564539358956472,-0.6099071565355574,-0.8339735920315698,-0.9705360166458857,-0.8762991581871395,-0.7092645756857736,-0.6929546830313547,-0.8575636808304561,-1.0158212196713399,-0.7946965526399159,-0.75967388016837,-1.1484732426234654,-1.1694794873737153,-1.0464917422703333,-1.3662417314620245,-1.8729868638174874,-1.110563648496355,-0.9472054855709986,-1.7978821951548258,-2.173233907881237,-0.8793201747167678,-1.3246186849612283,0.5655856245167975,1
5,6.506940608024597,0.42731981867495894,0.006087918281555176,0.005421165037386872,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-1.0343333775656565,-2.229691866465978,-1.4430928713480629,-3.2618450440906344,-1.6963156619299027,-2.633702676409767,-1.735058553968157,-1.011531746092297,-1.4199461606343586,-1.4348561398642403,-1.3188487496148973,-0.7866245990934824,-1.9336182129269557,-0.9732633512587776,-1.0367958957127161,-1.5988333365122476,-1.7020511519114176,-1.319620227995373,-2.381059909457252,-1.3654397257850288,-1.0625646752857028,-1.3788620470137825,-1.2861793026697068,-1.0392840818677629,-1.5727055121830529,-1.471177205040341,-1.0337631803240095,-1.7064472211201984,-0.877368107477824,-1.056239839735485,-0.6624188392275856,-0.861551084790911,-0.9533992218744186,-0.7969345345270066,-1.0341923015231178,-0.799001664842878,-0.9248672154744467,-1.1638898847670778,-0.7855074936094739,-0.7570109889620827,-1.323430469240461,-1.3496480892726352,-1.3026520670936221,-1.241700356074742,-1.6889195439474924,-0.9539183671133858,-0.8525252641042074,-1.799637495222546,-1.712147238322667,-1.1291698047092982,-1.3378728471211025,0.5076696794961186,2
6,2.621700520515442,0.15290575054416164,0.004477095603942871,0.006551194084601402,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-1.0563865925016855,-2.1422658155532113,-1.670120882397606,-3.182171367826916,-1.9692145057859878,-2.521480347951253,-1.206652293250674,-0.9409680559975759,-1.26234270359221,-1.369113466807774,-1.3877683239891414,-0.6786674960908435,-2.377871703011649,-1.0228803859892348,-0.9655781859443302,-1.6948980972653342,-1.6303322830200198,-1.5779663225355602,-2.19814591662089,-1.5550742794218517,-1.0314981486002606,-1.1200478528340658,-1.3592586765289307,-1.071131010963803,-1.530926252910069,-1.504894155229841,-1.1717076079958961,-1.853758740016392,-0.8744599597567605,-0.8937891232626779,-0.6734542910257977,-0.8303650039491202,-0.903686130977812,-0.7484123190016975,-1.0643169442131406,-0.7675561904907227,-0.8806895604814804,-1.2661883752005438,-0.7480548454466321,-0.7653591832660493,-1.4632056909288682,-1.2742216802324566,-1.4740294750758578,-1.2694358772096177,-1.5495842407771518,-2.028907018933977,-0.8813252893175394,-2.009999525524321,-1.736555272147769,-0.8458764127095539,-1.3600518776112511,0.5318656019158474,3
3,6.21150960445404,0.37904836718041535,0.008104720115661622,0.007253336826240037,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-0.8329777811141239,-1.5389528090159097,-1.9866495938982278,-3.6493871102106006,-2.7253591644650417,-3.2927504534040177,-0.8538631662641252,-1.1847953394026987,-0.9319804016294939,-1.3747063288915724,-1.3893166730971562,-1.4531858721233553,-0.8890013281504316,-0.980464709054856,-0.9850825751168388,-1.8070847410474504,-1.1809583540416904,-1.0969270371028357,-2.744431803022112,-0.9386888592129662,-1.0778331007276265,-1.5397142747243244,-0.9729525124686105,-1.145131299336751,-1.9738146489461263,-2.1131579530806768,-0.7855627754756385,-1.7147922629401797,-1.1481986257462278,-1.0427351135072254,-0.688513105937413,-0.8807878415243965,-0.9885477954319545,-1.1690344661530996,-0.9220232469467888,-0.8587525686536518,-1.0587752390361966,-0.9027216537112279,-0.8706780697050549,-0.9251997186569941,-1.0822939773741223,-1.0036822761353992,-1.1763966275169735,-1.659950813111805,-1.4263406346638998,-1.4565491557348338,-1.0169693986801873,-1.9028105053674609,-1.8967110889071508,-1.0040957786015101,-1.36482581258138,0.6320141752631373,4
7,6.642251362800598,0.37730696648852124,0.008728523254394532,0.007600419305984526,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-1.1431850213550383,-2.4207160552796863,-1.599217243830363,-2.777829057057699,-1.9635245054335821,-2.3489860613686697,-1.2907362319401332,-0.8869550947461811,-1.1081269660223096,-1.259738131296067,-1.4037237218221028,-0.7331019948323566,-2.846532056172689,-1.0010568522498724,-0.9372107670193627,-1.7121718449365522,-2.003825099854242,-1.7443491872605825,-2.110386373883202,-2.895020005816505,-1.0608113951910112,-1.151011109397525,-1.4011221865699404,-1.0346798539842876,-1.4378593413035077,-1.4365190476917085,-1.3383544212522962,-2.1565520459129695,-0.8398532263437908,-0.9306231481461298,-0.7418260518028624,-0.8620090722583591,-0.8822322318667456,-0.7434718717847553,-1.4475036502111525,-0.8654656801677887,-0.871730873652867,-1.821725118727911,-0.7446046880086266,-0.7545083711714973,-1.835269313903082,-1.3569196443103608,-1.7236539330255416,-1.3065434498559858,-1.7541337022327244,-2.03784392838251,-0.8612059599558511,-2.0561942484719413,-1.9243183510189965,-0.785339601062593,-1.4470055557968502,0.5901108340140248,5
1,6.066155652999878,0.3516754806262252,0.006465597152709961,0.0075681440708035876,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.894746045248849,-1.316688169297718,-2.1896158258347285,-4.474033821560088,-3.611630607332502,-2.55614956619626,-1.0341160511743457,-1.3210388340722947,-0.9168932652246385,-1.5060305684407551,-1.4727914071764263,-1.668924974714007,-0.9342569984254383,-0.8927113634745277,-1.0023207875206357,-1.9505280683608281,-1.2271229599543982,-1.1773430126735145,-3.3136154989515028,-1.00159995115371,-1.139757868176415,-1.9526629853021529,-1.1144590395972842,-1.2951534775325229,-2.3588278654189336,-2.465726574852353,-0.9849332648686,-1.7661116349356514,-1.3666707061585928,-1.1660997495197112,-0.8519657038734074,-1.0622540479387557,-1.2118741993677047,-1.4231499534788588,-1.132612219310942,-1.031003993261428,-1.2097348189581008,-1.1329184163411457,-1.08613872110276,-1.0367998881567093,-1.205512693223499,-1.1286371177491688,-1.2644248724437894,-1.8005199077242895,-1.7613854809715632,-1.4740840460459388,-1.101249663670858,-1.6633710257212322,-2.309650608062744,-0.955228456224714,-1.5183015355355396,0.7300786131828293,6
2,2.5950490999221802,0.15703291576415304,0.0049106025695800784,0.007030268448487934,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-1.3628617756253198,-1.384349628176008,-1.4593207424708774,-4.961036273774647,-4.156477323713757,-3.1882867171877907,-1.3070336975824262,-1.412337127594721,-1.25466421181815,-1.6590976946694513,-1.6927627425420853,-2.104562187648955,-1.4137980987003869,-1.468292047318958,-1.5419540958404543,-2.476251602354504,-1.9759816826411656,-2.0021241307939803,-4.548548784619286,-2.1375807317097983,-2.241596173876808,-3.327089259919666,-2.005063508624122,-2.55753428985959,-3.973147685913812,-4.262045035770962,-2.864892534437634,-3.1111452464149107,-2.610499288377308,-2.5786051590329127,-2.252297444843111,-2.5000318479083834,-2.5967878138224285,-2.976459947949364,-2.761783828008743,-2.7925196334293907,-2.899194847379412,-2.301457094192505,-2.5553180124192014,-2.653580295290266,-2.3334481356484544,-2.4955903612772623,-2.619813475200108,-3.3182553327651254,-2.549098685673305,-1.9477160544622512,-1.8015175574166435,-2.3095608854747955,-2.235840721947806,-1.5172010629744757,-2.44912825034187,0.8544732092365592,7
0,2.451004161834717,0.14065931692087863,0.0059308290481567385,0.006789889102019642,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-1.399331726346697,-1.318476741609119,-1.4153622772580097,-5.939638580958048,-4.668993631453741,-2.3761900935400098,-1.2942401253836493,-1.563699855441139,-1.1799811649322511,-1.7327048135484968,-1.7780191616784957,-2.2126939709981284,-1.5590041217803954,-1.5159227979750858,-1.6775141728719078,-2.679150032134283,-2.1427719247908823,-2.1731550071353003,-4.95568190738133,-2.3534533345358715,-2.511389293398176,-3.7216470569428943,-2.3528534238906134,-2.8132391516367594,-4.315571797688802,-4.586585469200498,-3.1081813826788043,-3.490429823103405,-2.8900134639739994,-2.8865730288369313,-2.570849698202951,-2.8307970157804943,-2.962527886254447,-3.315105496996925,-3.1284728877657932,-3.158938324337914,-3.219825840541295,-2.679189982005528,-2.899749361129034,-2.926952340443929,-2.736837139311291,-2.769810198375157,-2.9054341574169342,-3.592909877595448,-3.0379029345739457,-2.2958311196281795,-2.0959342359815323,-2.412483636583601,-2.848773583003453,-1.696934421811785,-2.6939545894168675,0.9894806091893756,8
