,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
3,5.699381899833679,0.48058657211032507,0.007689905166625976,0.007296335986588101,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-1.2630346890404112,-1.6414257696242562,-2.310404095422654,-4.874082222348169,-3.588982902345203,-3.9196561599004838,-1.7442193341936385,-1.345807236807687,-1.3006638325282505,-1.9384228415716263,-2.0137567739940825,-1.7713626567295624,-1.473883443559919,-1.1253087051028299,-1.0476382066635856,-2.6407289337884814,-1.492799924396333,-1.4461205318995884,-3.837932506016323,-1.1320164437066944,-1.3648737469627743,-1.5809609429495677,-1.3786997037615096,-1.2037550043378555,-2.412723839351109,-2.618571066901797,-0.9581426142737978,-1.931543526967366,-1.301476092383975,-1.0800096072242371,-0.8026508661905923,-0.9940602562313989,-1.2054641492934453,-1.287619694119408,-0.9104661445617676,-0.8804279438200451,-0.9700698136829196,-1.2765090900602793,-0.8513937961033413,-0.9521301714579264,-1.3346304337637764,-1.0559915707906087,-1.271980536687942,-1.7643062620617092,-1.7425446194240024,-1.8329545943850563,-1.3464340019226073,-1.9890488548278806,-2.5025588326227095,-1.342538803100586,-1.6810556757972352,0.8482234507211197,1
4,2.583023591041565,0.16500679973688018,0.004233865737915039,0.00662339210731332,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-0.9191801454453239,-2.2307705526806063,-2.4797601748875207,-4.676567094893683,-2.5552858447120306,-2.586356103261312,-1.3962554061526344,-1.149485027858189,-1.437412641071138,-2.1045560613359724,-1.723850741068522,-0.9962936067127044,-1.9324801214308966,-1.0474987738473076,-1.123469946361723,-2.4584808447701594,-2.6288865872337706,-1.4903102217174709,-3.758616944085984,-2.1884955346243724,-1.2875033057076593,-1.6644137229919433,-1.692650618053618,-1.4959636740911573,-2.3102173937842956,-2.4083361667451406,-1.3898461347307478,-2.098184102557954,-1.1391226514180501,-1.228171377999442,-0.7978273141043527,-1.066300698598226,-1.1873132128034318,-1.0137066412426177,-0.971295357840402,-0.8802847424461727,-0.9170667577471056,-1.438621249607631,-0.9147592887878417,-1.010808684031169,-1.3724082443600607,-1.6258061058407738,-1.285344855353946,-1.7915834993634907,-1.9803310307094029,-1.5476613273620603,-1.1084864985148113,-2.0449123242696126,-2.3622842541649227,-1.3047743599301294,-1.68439995938619,0.7486231434924931,2
5,6.406550154685974,0.40068983834024646,0.00779573917388916,0.007841424399012661,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-0.9861080591110952,-2.4626318114144463,-2.3247829631623764,-4.046954874492827,-2.7455261542910625,-2.397089312962123,-1.330435599009196,-1.109946105230422,-1.5619090160188223,-2.068315662747338,-1.7873981661115377,-0.9885357609703425,-2.045364551907494,-1.0719540359860376,-1.290685093470982,-2.5611183477129256,-2.5653952495029997,-1.6121986668904622,-3.320476435343425,-3.272468865349179,-1.319604049500965,-1.776697273617699,-1.430323881785075,-1.4914144594101677,-2.2475308171226867,-2.064805528368269,-1.4653881369091215,-2.014488065265474,-1.1566712072463263,-1.5793988821847098,-0.8410618556794669,-1.085704628172375,-1.1250916689918153,-0.7711104874383836,-1.13001032493228,-1.0740256903512138,-0.990667447771345,-1.3403372297741116,-1.0177374380202524,-0.969169866652716,-1.3891612051100954,-2.0823513924734933,-1.319114063626244,-1.7640953614371162,-1.9077543736412415,-1.5487842198326471,-0.9861803025745213,-1.9324107527959915,-2.060544175647554,-1.215888384864444,-1.6929363580576577,0.6957628559197055,3
6,2.53980571269989,0.1585055114305474,0.0044814968109130856,0.006440712527838702,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-1.1865009200686498,-1.9102580679030647,-1.8501341509137834,-4.819082736605689,-2.908597144898914,-3.729546997433617,-1.771782609667097,-1.2358789660135907,-1.5654022888910202,-2.228628894624256,-1.777194577353341,-0.985856755574544,-2.136218022664388,-1.138972091674805,-1.2054813257853187,-2.516653677440825,-2.054828083583287,-1.8545761062985373,-3.312367118653797,-2.4645063416617257,-1.2515906170436313,-1.530659322466169,-1.8248307353428435,-1.7210451869056336,-2.2407270059131443,-2.002579979487828,-1.2406287703741166,-1.9992615979512531,-1.229136994861421,-1.4020179347083683,-0.9241610089256653,-1.100632923307873,-1.199093797774542,-0.7981557272048224,-0.9648589257739841,-1.1756686237880163,-0.9883836310250421,-1.2959700500851585,-0.8517917389642624,-1.0363477031162807,-1.261435294378371,-2.273266893840971,-1.4396314283098495,-1.8647130154200957,-1.5926608267284577,-1.6497881228129068,-1.161683517456055,-1.8652006952194942,-2.110959764208112,-0.9449704273768834,-1.7118863827696305,0.7617539563511624,4
7,6.429696626663208,0.3493157028748107,0.008750085830688476,0.007990727464735583,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-1.3756240470522925,-1.9815600413367864,-1.8345791326250351,-4.448491113390242,-2.8233226245698475,-3.686486007872082,-1.7379692867824006,-1.2047096986316501,-1.5582770376659576,-2.1271581840515137,-1.7500706552777974,-0.9975341306413922,-2.238396479833694,-1.1236890413193477,-1.1890709530058357,-2.5562001057579407,-2.190469622294108,-2.003861644744873,-3.197233585357666,-2.885296892256964,-1.2157217123849051,-1.5264324758620487,-1.8183606345767067,-1.8728630198524112,-2.2482835324605306,-1.9708640031360445,-1.3000528353736516,-2.1092967007954915,-1.2780019511268252,-1.5416650590442476,-0.9342832285563153,-1.1273365939912343,-1.1672841233753022,-0.8733237357366652,-1.0422762710934594,-1.3318061694190617,-0.9659899395533972,-1.455264872414725,-0.8365663364955358,-0.9935266018822081,-1.3064502307346886,-2.5662624320983887,-1.4988230367388045,-1.9011819516136526,-1.7987269308907645,-1.692003611610049,-1.1780206878298805,-1.832177752540225,-2.0379635589236305,-0.8810402141752698,-1.7442370097750715,0.7346404884620262,5
1,5.649736275672913,0.4007175124872107,0.006740007400512695,0.002970908068112927,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.9408119296119324,-1.8298385353088378,-2.6224983455113,-5.671861463455928,-4.837194543021066,-1.9495222643897652,-1.4950150676908944,-1.6589951725914365,-1.124885716574533,-2.015203429449172,-2.2055755560738697,-2.146509127298992,-1.3580310474577404,-1.066656644730341,-1.0738722367059614,-2.8567028318132675,-1.494375427427746,-1.518308599562872,-4.536035459427606,-1.2883176888965426,-1.358927903674898,-2.0117518248785107,-1.4370011035374235,-1.2654590172540572,-2.8620393071855816,-3.3025088684445336,-1.056668621426537,-2.035509003593808,-1.4591811730521067,-1.234464880262102,-0.816082835969471,-1.0493607259477888,-1.280594597771054,-1.464293294089181,-1.0447885015578495,-1.0017052354358493,-1.0035446130661736,-1.3183666614350815,-1.002516382671538,-1.002465321132115,-1.3735879380362372,-1.0972352643694196,-1.3787699328831264,-2.027438050769624,-2.004555107480004,-1.7440414450509205,-1.323539175669352,-2.0552970003400532,-2.736664712451753,-1.3782577897934687,-1.7963365475245885,0.9949247115987081,6
2,2.377070527076721,0.3507759106244024,0.0065707206726074215,0.005725012126440805,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-1.7306414469764348,-1.4579310653323219,-2.3516677936372306,-6.115090956914993,-4.818599527631487,-4.5060367515200666,-2.2552879527864,-1.3177137084234332,-1.6413581918988909,-1.7874796444120862,-1.9151804622468491,-2.1330810163588754,-1.2229402830941338,-1.3107171629042855,-1.414758245558966,-2.954868291764032,-1.8586649362473262,-1.5964806089855377,-5.094085516793387,-1.6591880542210171,-1.8508309059143067,-2.8809256059555777,-1.6355997336251393,-2.0957817800612673,-3.8748170869009835,-4.326369053250268,-2.0378447857811337,-2.6745935222080774,-2.1503759805588496,-1.9042964906238373,-1.5367745561145607,-1.7513037356422063,-2.0010992713201614,-2.4930494976951962,-2.133537061963762,-1.9685976273672925,-2.0434873501005626,-2.0309543388003393,-1.8484721774146669,-1.8841178859529042,-1.8515519151233486,-1.776353842417399,-2.1637844895862397,-2.847438411167689,-2.233526097797212,-1.941254359654018,-1.5874152199881417,-2.2787859041123166,-2.6623165722801567,-1.8743869167509535,-2.3096282758767264,1.0227476583488684,7
0,2.1044078254699707,0.13589895298309862,0.00625978946685791,0.003476094404586999,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-1.887222302028111,-1.7766181569780624,-2.4014121927533827,-7.37533646610805,-5.9713220670790905,-2.9994464327494303,-2.42381380662464,-1.230241318838937,-1.7191582881382534,-1.6658938222612656,-1.8799732756841752,-2.109004081544422,-1.1682188711620514,-1.2330958311898368,-1.3386583155677432,-3.158313369750976,-1.9405418902805873,-1.7462242286318825,-6.00627216393607,-1.8233125695728116,-1.9957440092904226,-3.426386163620722,-1.899699766431536,-2.3148954311552496,-4.431522122519357,-5.0517755851745605,-2.460155230385917,-3.2540532235645108,-2.471232537950788,-2.184024029504685,-1.7818707751319527,-2.016539950052897,-2.2936855621337893,-2.7490800001961846,-2.460398572467622,-2.334002418518067,-2.381374678293864,-2.392763817741757,-2.1773751197088336,-2.1773904226393928,-2.1771832716805593,-2.0022968261355447,-2.3741056247892836,-3.2340676520211353,-2.653555288042341,-2.084679603031703,-1.6902474267142158,-2.3880854081653418,-2.9878898308163597,-1.9132015346345448,-2.552267226667858,1.2246261165001273,8
