,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
4,2.6592741441726684,0.17192621410977585,0.006577992439270019,0.003585505914217865,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-0.9831655224391392,-1.2317213365463986,-1.8718842863355363,-3.076510407402402,-2.465902077629452,-1.942125656945365,-1.0795352295466834,-1.1337479445139564,-1.093125295457386,-2.3293460479009718,-1.035846066974458,-0.8272622881389798,-1.2621490122477215,-0.9684508318219868,-0.9153846709841773,-2.251214012872605,-1.830731503350394,-1.199472389039539,-3.4350724948701403,-2.8130807660420736,-1.4657012468973798,-1.2701814609709239,-1.4827158418382915,-1.2127032935732887,-2.551521502449399,-2.4587897779373895,-1.3701258029029482,-1.720198493775867,-1.097179578417823,-1.001907233192807,-0.6227904937380836,-0.9237038537888302,-0.9711941207704088,-0.6022000756036667,-0.7386824238186792,-0.7294846626463389,-0.7103787716456824,-0.9570137557983399,-0.615745622725714,-0.6579977171761652,-1.0049123667762392,-0.6926712493896485,-0.9725984013875328,-1.7379990068163187,-1.7406103826250348,-1.3261770422799244,-0.8710251275017149,-1.4901715804508755,-1.7024849933442614,-1.1670540742420017,-1.3922329559108186,0.6712841048089321,1
5,6.549910321235656,0.3910443926067923,0.007164416313171387,0.0033203235241052224,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-0.9477901989164808,-1.309573461623419,-1.8738623410179498,-3.524939704168411,-2.701005341121128,-2.6180941230228965,-1.0136133424668083,-1.0728826746259414,-1.139092374165853,-2.5309405784606933,-1.1566867528642928,-0.7993992810022261,-1.339843896320888,-1.049435617719378,-1.0454580035436718,-2.3011808963957288,-1.7078780709675379,-1.3701341062273296,-3.485447819210234,-2.381533305940174,-1.442548059463501,-1.4115288171314055,-1.0589789683024087,-1.4328080915723527,-2.459802486510504,-1.7917492723010835,-1.1462097123463948,-1.750640645345052,-0.8812132419404526,-0.976538737251645,-0.6236899061657134,-0.9643483999343148,-0.8930358104705811,-0.5845403117225284,-0.7818164336794899,-0.7860186452411468,-0.675372857684181,-0.8886479081653413,-0.658401998792376,-0.6322653868538995,-0.8991637929280595,-1.4388347407749722,-0.9890320742470878,-1.7475887309483118,-1.7751290332249232,-1.0672899296170186,-0.8754920569828579,-1.350894071215675,-1.5196292289552233,-1.0546448216211228,-1.3985329212234134,0.6965710087594826,2
3,6.505528645515442,0.5835014982091836,0.007421054840087891,0.0034055867208652962,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-1.0623865860530308,-1.1122434382665727,-1.8574211931682765,-4.542367647261847,-2.379717690785726,-2.748416967936924,-1.1986755067734496,-1.094297256288074,-1.0774744645073302,-1.4915900957924981,-1.4593018452780588,-0.9658239696139381,-1.129193249838693,-0.906443241301037,-0.7596523266746884,-2.3624763663155695,-1.5778609291258314,-1.2312509508587064,-3.929166511535645,-1.845236472811018,-1.0611535634540377,-1.306595725649879,-1.3462416147504535,-0.8080483620961506,-2.509447476159959,-2.8429107646033875,-1.0798736165364584,-1.7167683783031644,-1.1366868134453183,-0.943655637105306,-0.6186184151059105,-0.8133901586078464,-1.0323779100690569,-0.6918063879467192,-0.7505621908278692,-0.6962912694840204,-0.6940825495038714,-0.9935797146388462,-0.6586507360367551,-0.7266047228858588,-1.009393613361177,-0.8482365034194219,-0.9481068602970669,-1.4658985338665187,-1.6024684548150925,-1.4773793589274087,-1.1713882993062337,-1.6794610628400528,-1.8037841858636763,-1.2592313274201896,-1.4084738183502927,0.7908544038189953,3
6,2.7008207750320437,0.14833359488757927,0.006451311111450195,0.0031971009884637137,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-0.8782873258136566,-1.1918534979139057,-1.856639923731486,-4.134350123632522,-2.89482932472229,-3.9794354250771664,-1.077918738683065,-1.1274567794799804,-1.0711439986456008,-2.4645072681790303,-1.3253871123904273,-0.7690953349158879,-1.267030750093006,-0.9281100230444048,-0.9398141515822636,-2.7566824333554223,-1.513451199349903,-1.6533419097718738,-3.9729662708100824,-2.3023151454017277,-1.3509143271673296,-1.5890511416480655,-1.1631550584520611,-1.699313546952747,-2.5021990881420315,-2.2210288415636334,-1.0452782124110631,-1.7431732175917853,-1.0518979699271063,-0.9897787194024948,-0.6326623962039041,-0.933836720512027,-0.9632713022686187,-0.6115905748094832,-0.7765576429821195,-0.6669946701413109,-0.7347578710828511,-0.8909556506928944,-0.719637698037284,-0.6411624724978495,-0.9219300883611041,-2.008242650440761,-1.0330446494874501,-1.7577196960449215,-1.505766888300578,-0.9841661238897413,-0.7488631203061059,-1.428646925608317,-1.4426019755772181,-0.9664600439525787,-1.4765855204209826,0.8575886877385555,4
1,5.983018612861633,0.30758352185296567,0.007027883529663086,0.0029280453496757764,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-1.17500049109686,-1.1532247127351307,-1.9526709152403332,-3.923783531643096,-3.1597163591839013,-1.8709945819491434,-1.6915027182442806,-1.1385082146780827,-1.0489804088955834,-1.724637188411894,-1.5851751382918586,-1.4255729376475021,-1.0246556601751418,-0.9073864051273892,-0.7865589643205915,-2.6357142926170716,-1.395257817586263,-1.1158790182386122,-4.826752112343198,-1.9433927378881546,-1.1990845002673922,-1.6698636510031561,-1.5235078621818905,-0.8720543249221075,-2.8238982530321395,-3.678860939116705,-1.2755790415264312,-1.8211469162532261,-1.473508554095314,-0.9951358469100223,-0.683639676684425,-0.7546172914050876,-1.0290681909833637,-0.973546878542219,-0.7668912318093435,-0.7136551145826067,-0.7415516684395927,-1.0002445458003453,-0.7934210502079556,-0.719342191514515,-1.0545647092546735,-0.7965001534053254,-1.0566306909833638,-1.79718033118475,-1.7030129980359758,-1.4524321584247406,-1.093997949055263,-1.5976653426034109,-2.0649971070062545,-1.2876735317593533,-1.5179727381461003,0.862651524778179,5
7,6.698335938453674,0.39422984805035877,0.008267407417297363,0.003518732292144229,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-0.8639192463102793,-1.2428868560791018,-1.9554436117808027,-4.73545386268979,-3.2026876262483146,-4.515528557731991,-1.0363091407957532,-1.054886119842529,-1.0775036073412214,-2.597690144311814,-1.5497356299445744,-0.8046221437908355,-1.2695052066984631,-1.063076557159424,-1.136813689822242,-2.967284047444662,-1.3310131997608001,-1.9242599240257625,-4.149701077143351,-1.9838299966539659,-1.7621246879214334,-1.699785153343564,-1.1528100367954799,-2.163025135131109,-2.3985547476268954,-2.3085962611607136,-0.9820938373747327,-1.6959376393272763,-1.1040381283533005,-1.3470152082897369,-0.6473790592920213,-1.0484999420529322,-1.0874715441749208,-0.6872554721832277,-0.8209717253730411,-1.0694252426510766,-0.7772769359406972,-0.9121279155186244,-0.710276696613857,-0.6602240145547051,-0.894025672549293,-3.1998366185142877,-1.0446715816316152,-1.934865062986101,-1.3028520931062242,-0.9921218186333065,-0.973192295074463,-1.341127674556914,-1.287587727047148,-0.7143289366222564,-1.5836329821995327,0.9716050821819403,6
2,2.740096297264099,0.16928765682518757,0.006621317863464355,0.0033585910189290673,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-1.9233102850232802,-2.055544811248779,-2.4099021383921304,-4.547006847018288,-3.482816889535813,-3.7011590557098395,-2.4237521108899798,-1.6142902721223376,-1.9398622017814997,-1.6715607210795085,-1.6708868452707921,-1.435447364443824,-1.2923262275514151,-1.1664944280896872,-1.0815542969476608,-2.442984220868065,-1.6009685433705647,-1.0089322626023065,-4.582107362928845,-1.4214257320222403,-1.394582591283889,-1.779955142066592,-1.4670953441801526,-1.132037586212158,-2.9816965712592713,-3.642885696592785,-1.1657514534904845,-1.9675836914607454,-1.5783727439698718,-1.1460589021955216,-0.9668417840685164,-0.8737550130571641,-1.0481282502128966,-1.246117428552537,-1.1229636703672863,-0.9910356500716436,-0.8900910785311742,-1.2694158749353317,-1.0572640092032295,-0.9377885296231225,-1.3090105261121476,-0.8974077185676211,-1.2701044525873098,-1.7652876444317043,-1.9620740480877106,-1.5864205250512984,-1.5753066658746626,-2.0608583838144936,-2.3826169679732545,-1.8976359758831207,-1.7767695307322908,0.8877460573784483,7
0,2.467507128715515,0.1671641055494293,0.006696720123291016,0.003368984975415074,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-2.3795870423998147,-2.4780866339547294,-2.840680874688285,-5.308390025638398,-4.2365170759473525,-2.7053178086053755,-2.8885375204540433,-2.0108434457324798,-2.2662504905519034,-2.114223597844442,-2.052969955716814,-1.8241424039204912,-1.4797003950391496,-1.2973672261919293,-1.3202248076484318,-2.769797118686494,-1.6514635938916886,-1.0658227164858862,-5.326687937691098,-1.8347528181530182,-1.5713411166781472,-2.1916793153853638,-1.629494911466326,-1.266171304884411,-3.4406098498389834,-4.495758943648566,-1.4414783757527672,-2.067249331247239,-1.706804543994722,-1.2162784999665757,-0.9690992243630545,-0.8994872877938408,-1.1104684249332974,-1.302192226137434,-1.1660633692060196,-1.035347244898478,-0.9490198761167977,-1.2968129671187625,-1.1065610307965958,-0.9645713188534693,-1.315288322902861,-0.9161743648165748,-1.262546243576777,-2.1208406644548683,-2.063638954980033,-1.6970167789459225,-1.6320266584668839,-2.192825718470982,-2.5867755835396897,-2.1760306205749513,-1.9928203312610444,1.039679524150076,8
