"date_time","gesamt"
2019-07-27 20:00:00,50.282
2019-08-02 12:00:00,64.34325
2019-08-02 16:00:00,59.52775
2019-08-02 20:00:00,54.53475
2019-08-03 12:00:00,53.4605
2019-08-03 16:00:00,49.30975
2019-08-03 20:00:00,46.50825
2019-08-09 12:00:00,65.7915
2019-08-09 16:00:00,61.062
2019-08-09 20:00:00,56.692
2019-08-10 12:00:00,57.57975
2019-08-10 16:00:00,53.79375
2019-08-10 20:00:00,49.76525
2019-08-16 12:00:00,63.2985
2019-08-16 16:00:00,57.697
2019-08-16 20:00:00,53.45675
2019-08-17 12:00:00,54.77075
2019-08-17 16:00:00,50.93025
2019-08-17 20:00:00,47.89475
2019-08-23 12:00:00,63.8495
2019-08-23 16:00:00,59.2055
2019-08-23 20:00:00,55.44225
2019-08-24 12:00:00,54.1755
2019-08-24 16:00:00,50.1025
2019-08-24 20:00:00,48.40125
2019-08-30 12:00:00,66.15925
2019-08-30 16:00:00,61.991
2019-08-30 20:00:00,58.28975
2019-08-31 12:00:00,55.24025
2019-08-31 16:00:00,52.05625
2019-08-31 20:00:00,50.51675
2019-09-06 12:00:00,66.01925
2019-09-06 16:00:00,60.60375
2019-09-06 20:00:00,58.1955
2019-09-07 12:00:00,53.73525
2019-09-07 16:00:00,49.47575
2019-09-07 20:00:00,50.1175
2019-09-13 12:00:00,68.136
2019-09-13 16:00:00,61.966
2019-09-13 20:00:00,59.74275
2019-09-14 12:00:00,54.83025
2019-09-14 16:00:00,50.3745
2019-09-14 20:00:00,51.1845
2019-09-20 12:00:00,65.26825
2019-09-20 16:00:00,59.91825
2019-09-20 20:00:00,59.61975
2019-09-21 12:00:00,53.92875
2019-09-21 16:00:00,49.104
2019-09-21 20:00:00,51.34825
2019-09-27 12:00:00,68.613
2019-09-27 16:00:00,62.4445
2019-09-27 20:00:00,60.8495
2019-09-28 12:00:00,58.1285
2019-09-28 16:00:00,53.38325
2019-09-28 20:00:00,53.4795
2019-10-04 12:00:00,61.3805
2019-10-04 16:00:00,57.52675
2019-10-04 20:00:00,57.65025
2019-10-05 12:00:00,55.8325
2019-10-05 16:00:00,51.152
2019-10-05 20:00:00,52.30975
2019-10-11 12:00:00,71.04
2019-10-11 16:00:00,65.566
2019-10-11 20:00:00,63.99475
2019-10-12 12:00:00,58.6205
2019-10-12 16:00:00,52.94925
2019-10-12 20:00:00,52.754
