"forecast_date","target","date","horizon","ret","q0.025","q0.25","q0.5","q0.75","q0.975"
2023-12-20,"DAX",2023-12-21,"1 day",-0.273071484452636,-1.64908577164724,-0.419629221736829,-0.0582229325449157,0.319673822230422,1.21499976379934
2023-12-20,"DAX",2023-12-22,"2 day",-0.160716016231532,-1.74421332418556,-0.523932955941813,0.0186938409287051,0.580733301876153,1.75340082904591
2023-12-20,"DAX",2023-12-27,"7 day",0.0538879691756478,-1.74947047131224,-0.484808946190429,0.137937292783597,0.846763753583097,2.28580855452806
