"forecast_date","target","date","horizon","ret","q0.025","q0.25","q0.5","q0.75","q0.975"
2024-01-31,"DAX",2024-02-01,"1 day",-0.264911268204138,-1.77654963096518,-0.459163326586375,-0.0489278620771843,0.366728938480419,1.34158379940977
2024-01-31,"DAX",2024-02-02,"2 day",0.0854543508493677,-1.73221877122089,-0.526724208744721,0.0186177970781526,0.585988171313496,1.75776301275093
2024-01-31,"DAX",2024-02-05,"5 day",0.00177935901959358,-3.62328982669522,-0.731076350309159,0.242874313639604,0.944829120694273,2.52935544107578
2024-01-31,"DAX",2024-02-06,"6 day",0.763067430963638,-2.50476007474819,-0.625463993192412,0.29357422112242,0.883471717519005,2.51071948144923
2024-01-31,"DAX",2024-02-07,"7 day",0.107617358940537,-3.58416818165957,-1.12175285956562,0.292338639537697,1.48313493245606,3.59012830992508
