,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
4,2.8044519996643067,0.2523353542555755,0.0057037448883056644,0.0064367959321138665,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-0.25589407233283656,-0.8185367674328035,-0.2840977575574602,-0.4997875304812481,-0.5002143698192782,-0.3962021763574513,-0.563440864072527,-0.22152744992574072,-0.24860879819960852,-0.2665492225646975,-0.26060772977556523,-0.2460083684921267,-0.17568290773119255,-0.26157157501947303,-0.1810928800855366,-0.2633119952065607,-0.19612135235922695,-0.22596508359454948,-0.4518344407490326,-0.1565232327597484,-0.1767818462462654,-0.24724618725549624,-0.29464284471784324,-0.15812186409178244,-0.2801129311607,-0.25833371433076424,-0.13819278915950237,-0.4168801592599778,-0.1726626954033264,-0.16443790785471604,-0.11578103195372094,-0.13535600972856812,-0.15836116424742216,-0.1770189105624246,-0.15575616046360585,-0.1491743832996915,-0.14936438002813446,-0.12648486943017884,-0.22670320636204333,-0.16281105241321397,-0.23233097169966926,-0.16418031196594252,-0.17220396235329782,-0.21710235819135415,-0.3975011391230991,-0.3816791661943707,-0.15752684758504254,-0.3829191433134535,-0.3926101739520117,-0.17484622170584552,-0.2602140595714026,0.13435701428296806,1
6,2.760946202278137,0.2120913629436856,0.00674405574798584,0.0005903988902321074,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-0.15997076854705816,-0.9296146177746,-0.3757888807478404,-0.44051236655825693,-0.4103885693323048,-0.41362102979932547,-1.046477246747698,-0.1902746615636918,-0.2067896397363573,-0.21281141756148583,-0.2027827231997536,-0.19945629851023372,-0.16276584960392548,-0.2841626231238955,-0.17268825855255146,-0.26584327041081046,-0.22096607165563692,-0.222145466958909,-0.3752169012523836,-0.13987100953601667,-0.27697888743990984,-0.22464114438919805,-0.300667702011835,-0.16534157330649255,-0.2643788918086463,-0.27450408225286593,-0.12822479801177983,-0.4764607673100063,-0.23482403834206747,-0.16401229535965692,-0.11505185434250616,-0.13035031147911447,-0.17494539703187506,-0.17581625345320942,-0.15615631171635241,-0.1334859273093089,-0.13509193734668562,-0.1589018878210159,-0.20785392723083507,-0.15196564783368804,-0.15157893783024395,-0.15555360847654812,-0.17688855655306868,-0.19196186720530212,-0.5768498277936663,-0.7384649498258318,-0.28480689300355455,-0.45846187223706947,-0.4029913375037056,-0.15863352504003622,-0.2795598536487762,0.1926173484483787,2
5,6.832382426261902,0.5169153056343518,0.0069599151611328125,0.0004112313955366019,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",-0.2107714775902886,-1.2197275200071789,-0.3267038248516264,-0.4474540699459262,-0.36471120489211345,-0.2801315686271307,-0.7448478476297284,-0.19873847598121294,-0.2833441165197464,-0.22179964358920165,-0.20902968374888117,-0.21045605527787004,-0.6112293246042165,-0.373036417952038,-0.17860168763115322,-0.25663693865821485,-0.2447316684995382,-0.2323397061211724,-0.40484164607638445,-0.14438981186094754,-0.19657549492064005,-0.2143223678498042,-0.24048466611589703,-0.14630237284160807,-0.25904189241500153,-0.24629259016854443,-0.1374305221375965,-0.5031847379502795,-0.1653253424235755,-0.1568945404234387,-0.107891726929801,-0.1453266206196378,-0.15315885332198384,-0.1649154449372066,-0.1529938804535641,-0.1280682309922719,-0.15402492678506047,-0.13350912827083058,-0.22245053530193526,-0.16319116883050844,-0.22983174249558225,-0.15496894431341274,-0.18646411775861477,-0.19396999991280714,-0.4163567719504946,-0.7802840215955461,-0.16118688912164622,-0.5507574767158148,-0.36302259722210095,-0.16620011984507252,-0.28315900829369695,0.20194999373396533,3
7,7.08071418762207,0.4883565380703902,0.00769472599029541,0.0005752593999948963,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-0.15746570571717775,-1.6121974183672951,-0.5358356552033195,-0.41433715483347616,-0.3264544098263698,-0.27511010323479085,-1.1887761363619846,-0.17523078868502678,-0.3084263243811473,-0.19725420109885092,-0.21396435238066183,-0.17382437006632506,-0.8138029964447027,-0.4316527721223378,-0.2046558332624892,-0.3132349936349053,-0.25638342623937727,-0.209923083823068,-0.33572052598680796,-0.15446148271106547,-0.42316231688544903,-0.20197795640854618,-0.34802907214391793,-0.16049942606971393,-0.250679225149609,-0.2845546590532578,-0.12233832503727506,-0.6765394082932245,-0.2859987565630962,-0.15426383899507062,-0.09599106423514238,-0.12350474422999802,-0.16892854260944196,-0.1661363546916418,-0.6232727702458701,-0.13447696644919271,-0.14212725712912438,-0.18081361236572274,-0.20981110670907174,-0.14783394127800364,-0.1816625578562419,-0.15096838709513363,-0.23956623411632716,-0.17109353515988324,-0.6101446315038772,-1.2101142712910966,-0.3704000233423142,-0.5853849412373135,-0.7020074980145408,-0.15113571731022435,-0.35144257751701014,0.30488412935824727,4
3,7.003840742111206,0.4853510593269512,0.008631935119628906,0.007750599087650327,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-0.2816853847322013,-0.2589590244928997,-0.19178998196919775,-0.7060967820394614,-0.6876180998030169,-0.4996643036342806,-0.2673047765640988,-0.2646726455688479,-0.24037782005128433,-0.2853893073218212,-0.3064259473709835,-0.32951470742906874,-0.2538246204194571,-0.22780498758043569,-0.2437097256251746,-0.35258301078251464,-0.30386870268867155,-0.3129777514775597,-0.574243630064102,-0.31003678515298055,-0.2994773912157334,-0.43399286828722305,-0.28647918112618603,-0.32947030725933285,-0.4956632195427308,-0.5237418185915271,-0.3825399281547187,-0.38431048676627055,-0.3440413932527819,-0.3381228620438352,-0.31411111253102647,-0.3316046398889454,-0.33770327860514354,-0.391152737454006,-0.37107602591741684,-0.37069281696137957,-0.37932866124652714,-0.31869742077418767,-0.39174232090541333,-0.3568307708104455,-0.33721625553312784,-0.3451148103895645,-0.3514025656200594,-0.42646041571299276,-0.4732312820797877,-0.34744104461669945,-0.2642675381342573,-0.4814364637193228,-0.4245014850071498,-0.23595631464095354,-0.3593271082311361,0.10588532083267176,5
1,6.794273810386658,0.4700299465243619,0.006875824928283691,0.007761033951809803,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.3394066714604699,-0.26117481710343166,-0.2374871610823134,-0.75661143238431,-0.6757825156166446,-0.5253878086544224,-0.31327264609563943,-0.31581144509996717,-0.277399365052723,-0.32687112579345734,-0.34632858562469515,-0.39252351424807636,-0.3217077702022737,-0.27633375344049377,-0.2906501420066473,-0.4099960041227798,-0.36381913955325207,-0.3749525948206587,-0.6347244290578938,-0.3662656135831564,-0.3667177622840521,-0.4902824639365791,-0.3427332483200803,-0.38318041483561227,-0.5544407312302367,-0.5882489215578357,-0.4450212100256062,-0.441205089995975,-0.37770939374651263,-0.41072951530274926,-0.37295371930258653,-0.3918559598650255,-0.40955900189535993,-0.45070028779166127,-0.42911502243223676,-0.44227642745063456,-0.4429387472334366,-0.37265520651681117,-0.4416503240766983,-0.41950937016805045,-0.3822127018247335,-0.4008444527580628,-0.40428276119232215,-0.4842969732829507,-0.5113302931376867,-0.3189288532983691,-0.32402227126530264,-0.46780355199178086,-0.4078382986159553,-0.26398473767780145,-0.4069106849603203,0.10373814102700672,6
2,3.4180382823944093,0.23576399886131644,0.00525418758392334,0.007043822142300602,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-0.4969629339308971,-0.4199681244986402,-0.42879190493992436,-0.9609150886898958,-0.913903445016771,-0.6907226430257168,-0.46991802697862944,-0.4621056858244401,-0.42801945771716926,-0.48624949544270873,-0.5125720581781301,-0.5679542798541847,-0.5172078658875969,-0.48720792292640364,-0.5058216517039712,-0.6336780920664475,-0.6072801830473405,-0.6107894447145013,-0.895622173327492,-0.6492232662200934,-0.6574911403383533,-0.795288698923021,-0.6520000221797404,-0.6932180618104488,-0.8590212789263051,-0.9208514326913024,-0.7912271166665219,-0.798977877407983,-0.6989480833507726,-0.7151025593621396,-0.6996955725170323,-0.7164203407378431,-0.7359545498530077,-0.7927258607046952,-0.7868198832557322,-0.7891381077993491,-0.8068113400232232,-0.742133629771642,-0.732107735888164,-0.7456297887620478,-0.6800420037950794,-0.7149067597525466,-0.715093213608152,-0.7968035593123669,-0.6268871422086448,-0.5582407414935888,-0.549659287062146,-0.7270110674812685,-0.5593717023758666,-0.4806357837949484,-0.6656625617168979,0.14018537623863592,7
0,3.279225549697876,0.2381938298449201,0.006253104209899902,0.007466372633956444,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-0.552183805810838,-0.4759022698356996,-0.46544439955211864,-0.9972947189149411,-0.9686955585479746,-0.7659974919637051,-0.5424992580050519,-0.5279177376883376,-0.48626204439799026,-0.5427346215747656,-0.5691592478979206,-0.6248610412960967,-0.5728364812215174,-0.5364652422405429,-0.5521374454679948,-0.6782292942955386,-0.6482822113763724,-0.6649661045256121,-0.9489532396407363,-0.7075605709257586,-0.729867306409564,-0.8532733643849698,-0.7145052514939088,-0.7559204564775746,-0.9245789449782608,-0.9762870992751357,-0.857626786313739,-0.8675679643903468,-0.7706515514010481,-0.7830208020891469,-0.763945212936402,-0.7870001091003426,-0.8082663792383109,-0.8594478132338759,-0.8567008138384145,-0.8677638424464643,-0.8742407395135797,-0.8147253682454434,-0.8055070696149559,-0.8131859872000565,-0.7440475262959805,-0.7723196929205038,-0.7762165449959898,-0.8596654946100153,-0.6835656065078014,-0.6107976944696342,-0.5973031186785023,-0.7484057323819121,-0.5856492044358033,-0.515888440050398,-0.7241264940621518,0.14398188332831746,8
