forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
20240110,energy,36 hour,63.017014,69.10757,70.413025,72.299385,73.19491
20240110,energy,40 hour,59.583824,66.957565,68.33296,69.80053,70.85359
20240110,energy,44 hour,56.55231,63.229992,64.84681,66.798035,65.65535
20240110,energy,60 hour,55.0575,59.84031,62.243027,64.216705,63.765686
20240110,energy,64 hour,53.66341,59.195953,61.04722,62.81705,64.37169
20240110,energy,68 hour,51.202927,56.562874,57.424896,58.819553,61.858982
