"forecast_date","target","horizon","q0.025","q0.25","q0.5","q0.75","q0.975"
2023-11-15,"DAX","1 day",-2.59860345359161,-0.728224922603313,-0.00310840518451805,0.722008112234277,2.59238664322258
2023-11-15,"DAX","2 day",-2.51174840110906,-0.610154613159312,0.133269014569294,0.876692642297899,2.77828643024765
2023-11-15,"DAX","5 day",-2.32396300173917,-0.517915007876311,0.204497209374991,0.926909426626293,2.73295742048915
2023-11-15,"DAX","6 day",-2.01504000808836,-0.254659454610181,0.431517988943957,1.1176954324981,2.87807598597628
2023-11-15,"DAX","7 day",-2.25694519892654,-0.392580163479864,0.337211953993914,1.06700407146769,2.93136910691436
