"forecast_date","target","date","horizon","qs0.025","qs0.25","qs0.50","qs0.75","qs0.975","mean_qs","sum_qs"
2023-12-13,"DAX",2023-12-14,"1 day",0.0860545304543792,0.189836880999833,0.139368728400014,0.329205609399846,0.0999914032943806,0.168891430509691,0.844457152548453
2023-12-13,"DAX",2023-12-15,"2 day",0.0827506676078407,0.140501707626917,0.255383625470929,0.395885333097845,0.108289030154934,0.196562072791693,0.982810363958465
2023-12-13,"DAX",2023-12-18,"5 day",0.0477857633229059,0.566549209765113,0.908260209720891,0.71941047313252,0.138611784294995,0.476123488047285,2.38061744023642
2023-12-13,"DAX",2023-12-19,"6 day",0.0770274345381872,0.0614460202989416,0.429231442834408,0.490677463133349,0.119950578821628,0.235666587925303,1.17833293962651
2023-12-13,"DAX",2023-12-20,"7 day",0.0711806899253999,0.0399302929648872,0.593190434405079,0.579880336750116,0.130499733365908,0.282936297482278,1.41468148741139
