"forecast_date","target","horizon","q0.025","q0.25","q0.5","q0.75","q0.975"
2024-02-14,"DAX","1 day",-1.83404505421075,-0.471082377797851,0.0578683372952869,0.586819052388424,1.94978172880132
2024-02-14,"DAX","2 day",-1.88791309696865,-0.422246671695681,0.149458518343685,0.721163708383051,2.18683013365602
2024-02-14,"DAX","5 day",-1.70695570536144,-0.339690436428556,0.203962812392838,0.747616061214233,2.11488133014711
2024-02-14,"DAX","6 day",-1.69320063149152,-0.271403403873045,0.282810403712668,0.837024211298382,2.25882143891685
2024-02-14,"DAX","7 day",-1.64519182411751,-0.202454655136384,0.361168509719367,0.924791674575117,2.36752884355625
