"forecast_date","target","horizon","q0.025","q0.25","q0.5","q0.75","q0.975"
2023-12-20,"DAX","1 day",-1.67159006637365,-0.408336387506441,0.0802163075245453,0.568769002555532,1.83202268142274
2023-12-20,"DAX","2 day",-1.62073900029606,-0.337861615066943,0.162542474119383,0.66294656330571,1.94582394853483
2023-12-20,"DAX","5 day",-1.58154314001864,-0.292670268144834,0.219907601150448,0.732485470445731,2.02135834231953
2023-12-20,"DAX","6 day",-1.57942599792649,-0.224505028178661,0.30290501418571,0.830315056550081,2.18523602629791
2023-12-20,"DAX","7 day",-1.48255640234452,-0.134691858886274,0.391363773709203,0.91741940630468,2.26528394976293
